thalos_id,calories,protein,fat,carbs
106674,110,0.3,0.1,11.3
106675,526,9,34.4,53.4
106676,511,7.64,29.37,59.67
106677,456,4.01,17.23,71.17
106678,541,3.13,30.37,63.73
106679,254,0.2,0.1,66.3
106680,493,4.6,26.6,58.88
106681,538,10.22,33.21,54.34
106682,468,2.5,19.33,70.97
106683,500,5,26,67
106684,515,10.24,30.53,55.36
106685,497,12.46,24.77,59.86
106686,474,5.08,20.93,67.95
106687,432,1.67,11.9,79.53
106688,436,2.6,12.75,77.77
106689,502,4.91,24.85,64.8
106690,547,9.18,32.67,54.14
106691,494,8.04,23.68,63.23
106692,360,0,0.3,96.7
106693,410,6.9,6.4,82.8
106694,122,3.99,4,17.6
106695,410,20,10,60
106696,381,7.8,0,90.5
106697,394,1.78,7.32,81.64
106698,225,4.14,16,16.07
106699,142,2.09,4.6,23.01
106700,378,2.3,1.9,87.9
106701,111,3.28,2.06,19.76
106702,107,2.9,2.3,19.2
106703,108,3.23,2.15,18.39
106704,376,2.7,0.1,91.2
106705,377,0,0.6,92.9
106706,114,2.7,2.9,19.7
106707,107,2.76,1.71,20.2
106708,112,4.13,2.83,17.61
106709,101,2.94,1.73,18.53
106710,85,3.24,2.06,13.47
106711,77,3.06,1.77,12.34
106712,485,3.3,25.9,59.59
106713,383,0,0,99
106714,89,3.03,3.07,12.21
106715,84,1,0.1,19.8
106716,397,1.1,17.6,63.2
106717,113,2.95,3,18.68
106718,89,2.02,0,20.16
106719,94,1.44,0.35,21.31
106720,93,1.93,0.3,20.87
106721,408,1.11,13.06,71.8
106722,530,3.94,30.38,63.39
106723,410,0.3,4.9,93.8
106724,371,2.3,0,94.9
106725,546,5.94,31.72,59.78
106726,520,5.19,32.45,59.4
106727,463,4.28,19.17,68.49
106728,458,3.82,20.42,67.56
106729,373,0.1,3.5,85.2
106730,216,3.8,11,28.2
106731,192,3.2,8.4,27.6
106732,341,4.4,0,80.9
106733,53,0.03,0.02,13.5
106734,79,0,0.24,19.23
106735,475,4.28,19.32,72.4
106736,159,4,5.6,24.2
106737,173,0.39,0.3,42.47
106738,474,3.24,21.11,67.69
106739,472,5.4,22.4,64.67
106740,246,0.3,0,66.3
106741,290,0,0.1,74.73
106742,325,0.3,0.3,90.4
106743,100,0.1,0.1,26.1
106744,409,0.41,8.31,82.76
106745,115,0.37,0.07,28
106746,111,2.74,2.89,18.44
106747,415,0.9,10,83.5
